user_id,gym_id,checkin_time,checkout_time,workout_type,calories_burned,duration_minutes,session_date,session_month,session_weekday,session_hour,valid_duration,calories_per_minute,age,age_group,gender,user_location,subscription_plan,sign_up_date,location,gym_type,facilities,price_per_month
user_3291,gym_6,2023-09-10 15:55:00,2023-09-10 16:34:00,Weightlifting,462,39.0,2023-09-10,2023-09,Sunday,15,True,11.846153846153847,41,35-44,Female,Atlanta,Pro,2023-04-08,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",49.99
user_1944,gym_2,2023-04-13 20:07:00,2023-04-13 22:43:00,Yoga,1278,156.0,2023-04-13,2023-04,Thursday,20,True,8.192307692307692,24,18-24,Female,Las Vegas,Pro,2023-07-16,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",49.99
user_958,gym_7,2023-06-10 12:24:00,2023-06-10 13:49:00,Cardio,858,85.0,2023-06-10,2023-06,Saturday,12,True,10.094117647058823,37,35-44,Male,Boston,Basic,2021-09-15,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",19.99
user_811,gym_2,2023-05-23 17:11:00,2023-05-23 20:01:00,Yoga,1134,170.0,2023-05-23,2023-05,Tuesday,17,True,6.670588235294118,34,25-34,Female,Las Vegas,Student,2023-04-25,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",9.99
user_4923,gym_10,2023-02-21 06:20:00,2023-02-21 08:02:00,Weightlifting,1049,102.0,2023-02-21,2023-02,Tuesday,6,True,10.284313725490197,32,25-34,Female,Austin,Pro,2022-12-29,San Jose,Premium,"Swimming Pool, Sauna, CrossFit",49.99
user_1534,gym_5,2023-02-05 19:33:00,2023-02-05 22:18:00,CrossFit,1482,165.0,2023-02-05,2023-02,Sunday,19,True,8.981818181818182,56,55-64,Female,Detroit,Basic,2022-11-17,Phoenix,Standard,"Basketball Court, CrossFit, Swimming Pool",19.99
user_4431,gym_8,2023-06-10 13:08:00,2023-06-10 14:07:00,Cardio,1618,59.0,2023-06-10,2023-06,Saturday,13,True,27.423728813559322,24,18-24,Male,Miami,Pro,2023-02-03,San Diego,Standard,"Basketball Court, Sauna, CrossFit",49.99
user_410,gym_1,2023-03-26 14:04:00,2023-03-26 16:03:00,Yoga,751,119.0,2023-03-26,2023-03,Sunday,14,True,6.310924369747899,50,45-54,Female,Austin,Pro,2022-09-11,New York,Premium,"Climbing Wall, Swimming Pool, Basketball Court",49.99
user_54,gym_10,2023-04-06 06:17:00,2023-04-06 09:10:00,Swimming,706,173.0,2023-04-06,2023-04,Thursday,6,True,4.08092485549133,61,55-64,Non-binary,Austin,Student,2023-04-06,San Jose,Premium,"Swimming Pool, Sauna, CrossFit",9.99
user_4797,gym_7,2023-02-15 19:37:00,2023-02-15 21:02:00,Weightlifting,713,85.0,2023-02-15,2023-02,Wednesday,19,True,8.388235294117647,62,55-64,Male,Austin,Basic,2022-02-02,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",19.99
