exercise_id,name,gif_url,body_parts,equipments,target_muscles,secondary_muscles,instructions,primary_body_part,primary_equipment,primary_target_muscle,instruction_text,instruction_step_count
01qpYSe,upward facing dog,https://static.exercisedb.dev/media/01qpYSe.gif,"[""back""]","[""body weight""]","[""spine""]","[""shoulders"", ""chest""]","[""step:1 lie face down on the floor with your legs extended behind you."", ""step:2 place your hands on the floor next to your lower ribs, fingers pointing forward."", ""step:3 press your hands firmly into the floor and straighten your arms, lifting your torso and thighs off the ground."", ""step:4 roll your shoulders back and down, opening your chest and lifting your gaze towards the ceiling."", ""step:5 hold this position for a few breaths, then slowly lower your body back down to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",back,body weight,spine,"step:1 lie face down on the floor with your legs extended behind you. step:2 place your hands on the floor next to your lower ribs, fingers pointing forward. step:3 press your hands firmly into the floor and straighten your arms, lifting your torso and thighs off the ground. step:4 roll your shoulders back and down, opening your chest and lifting your gaze towards the ceiling. step:5 hold this position for a few breaths, then slowly lower your body back down to the starting position. step:6 repeat for the desired number of repetitions.",6
03lzqwk,assisted hanging knee raise,https://static.exercisedb.dev/media/03lzqwk.gif,"[""waist""]","[""assisted""]","[""abs""]","[""hip flexors""]","[""step:1 hang from a pull-up bar with your arms fully extended and your palms facing away from you."", ""step:2 engage your core muscles and lift your knees towards your chest, bending at the hips and knees."", ""step:3 pause for a moment at the top of the movement, squeezing your abs."", ""step:4 slowly lower your legs back down to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",waist,assisted,abs,"step:1 hang from a pull-up bar with your arms fully extended and your palms facing away from you. step:2 engage your core muscles and lift your knees towards your chest, bending at the hips and knees. step:3 pause for a moment at the top of the movement, squeezing your abs. step:4 slowly lower your legs back down to the starting position. step:5 repeat for the desired number of repetitions.",5
05Cf2v8,impossible dips,https://static.exercisedb.dev/media/05Cf2v8.gif,"[""upper arms""]","[""body weight""]","[""triceps""]","[""chest"", ""shoulders""]","[""step:1 position yourself between two parallel bars with your arms fully extended and your body suspended in the air."", ""step:2 bend your knees and cross your ankles."", ""step:3 lower your body by bending your elbows until your upper arms are parallel to the ground."", ""step:4 pause for a moment, then push yourself back up to the starting position by straightening your arms."", ""step:5 repeat for the desired number of repetitions.""]",upper arms,body weight,triceps,"step:1 position yourself between two parallel bars with your arms fully extended and your body suspended in the air. step:2 bend your knees and cross your ankles. step:3 lower your body by bending your elbows until your upper arms are parallel to the ground. step:4 pause for a moment, then push yourself back up to the starting position by straightening your arms. step:5 repeat for the desired number of repetitions.",5
0br45wL,push-up inside leg kick,https://static.exercisedb.dev/media/0br45wL.gif,"[""upper legs""]","[""body weight""]","[""glutes""]","[""quadriceps"", ""hamstrings"", ""calves"", ""core""]","[""step:1 start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together."", ""step:2 lower your body towards the ground by bending your elbows, keeping your back straight and your core engaged."", ""step:3 as you push back up, lift one leg off the ground and kick it out to the side, keeping it straight."", ""step:4 lower your leg back down and repeat the push-up, then switch to the other leg."", ""step:5 continue alternating leg kicks with each push-up repetition.""]",upper legs,body weight,glutes,"step:1 start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together. step:2 lower your body towards the ground by bending your elbows, keeping your back straight and your core engaged. step:3 as you push back up, lift one leg off the ground and kick it out to the side, keeping it straight. step:4 lower your leg back down and repeat the push-up, then switch to the other leg. step:5 continue alternating leg kicks with each push-up repetition.",5
0CXGHya,cable cross-over variation,https://static.exercisedb.dev/media/0CXGHya.gif,"[""chest""]","[""cable""]","[""pectorals""]","[""deltoids"", ""triceps""]","[""step:1 adjust the cable pulleys to chest height."", ""step:2 stand in the center of the cable machine with one foot in front of the other."", ""step:3 grasp the handles with your palms facing down and your arms extended out to the sides."", ""step:4 take a step forward, keeping your arms slightly bent."", ""step:5 with a slight bend in your elbows, bring your hands together in front of your chest."", ""step:6 pause for a moment, then slowly return your arms back to the starting position."", ""step:7 repeat for the desired number of repetitions.""]",chest,cable,pectorals,"step:1 adjust the cable pulleys to chest height. step:2 stand in the center of the cable machine with one foot in front of the other. step:3 grasp the handles with your palms facing down and your arms extended out to the sides. step:4 take a step forward, keeping your arms slightly bent. step:5 with a slight bend in your elbows, bring your hands together in front of your chest. step:6 pause for a moment, then slowly return your arms back to the starting position. step:7 repeat for the desired number of repetitions.",7
0dCyly0,barbell seated bradford rocky press,https://static.exercisedb.dev/media/0dCyly0.gif,"[""shoulders""]","[""barbell""]","[""delts""]","[""triceps"", ""upper back""]","[""step:1 sit on a bench with your back straight and feet flat on the ground."", ""step:2 hold the barbell with an overhand grip, slightly wider than shoulder-width apart."", ""step:3 lift the barbell to shoulder height, keeping your elbows slightly bent and pointing forward."", ""step:4 press the barbell overhead, fully extending your arms."", ""step:5 lower the barbell back to shoulder height and repeat for the desired number of repetitions.""]",shoulders,barbell,delts,"step:1 sit on a bench with your back straight and feet flat on the ground. step:2 hold the barbell with an overhand grip, slightly wider than shoulder-width apart. step:3 lift the barbell to shoulder height, keeping your elbows slightly bent and pointing forward. step:4 press the barbell overhead, fully extending your arms. step:5 lower the barbell back to shoulder height and repeat for the desired number of repetitions.",5
0I5fUyn,band underhand pulldown with classic,https://static.exercisedb.dev/media/0I5fUyn.gif,"[""back""]","[""band""]","[""lats""]","[""biceps"", ""forearms""]","[""step:1 attach the band to a high anchor point, such as a pull-up bar or sturdy beam."", ""step:2 stand facing the anchor point with your feet shoulder-width apart."", ""step:3 grasp the band with an underhand grip, hands slightly wider than shoulder-width apart. emphasize classic control."", ""step:4 extend your arms fully overhead, keeping your elbows slightly bent."", ""step:5 engage your lats and pull the band down towards your chest, squeezing your shoulder blades together."", ""step:6 pause for a moment at the bottom of the movement, then slowly release the tension and return to the starting position."", ""step:7 repeat for the desired number of repetitions.""]",back,band,lats,"step:1 attach the band to a high anchor point, such as a pull-up bar or sturdy beam. step:2 stand facing the anchor point with your feet shoulder-width apart. step:3 grasp the band with an underhand grip, hands slightly wider than shoulder-width apart. emphasize classic control. step:4 extend your arms fully overhead, keeping your elbows slightly bent. step:5 engage your lats and pull the band down towards your chest, squeezing your shoulder blades together. step:6 pause for a moment at the bottom of the movement, then slowly release the tension and return to the starting position. step:7 repeat for the desired number of repetitions.",7
0IgNjSM,dumbbell standing reverse curl,https://static.exercisedb.dev/media/0IgNjSM.gif,"[""upper arms""]","[""dumbbell""]","[""biceps""]","[""forearms""]","[""step:1 stand up straight with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing your body."", ""step:2 keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level."", ""step:3 hold the contracted position for a brief pause as you squeeze your biceps."", ""step:4 inhale and slowly begin to lower the dumbbells back to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",upper arms,dumbbell,biceps,"step:1 stand up straight with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing your body. step:2 keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. step:3 hold the contracted position for a brief pause as you squeeze your biceps. step:4 inhale and slowly begin to lower the dumbbells back to the starting position. step:5 repeat for the desired number of repetitions.",5
0jp9Rlz,one leg floor calf raise,https://static.exercisedb.dev/media/0jp9Rlz.gif,"[""lower legs""]","[""body weight""]","[""calves""]","[""ankles"", ""feet""]","[""step:1 stand with your feet hip-width apart and place your hands on a wall or sturdy object for balance."", ""step:2 lift one foot off the ground and balance on the other foot."", ""step:3 slowly raise your heel off the ground, lifting your body up onto the ball of your foot."", ""step:4 pause for a moment at the top, then slowly lower your heel back down to the starting position."", ""step:5 repeat for the desired number of repetitions, then switch legs and repeat.""]",lower legs,body weight,calves,"step:1 stand with your feet hip-width apart and place your hands on a wall or sturdy object for balance. step:2 lift one foot off the ground and balance on the other foot. step:3 slowly raise your heel off the ground, lifting your body up onto the ball of your foot. step:4 pause for a moment at the top, then slowly lower your heel back down to the starting position. step:5 repeat for the desired number of repetitions, then switch legs and repeat.",5
0JtKWum,dumbbell burpee,https://static.exercisedb.dev/media/0JtKWum.gif,"[""cardio""]","[""dumbbell""]","[""cardiovascular system""]","[""quadriceps"", ""hamstrings"", ""calves"", ""shoulders"", ""triceps"", ""core""]","[""step:1 start in a standing position with your feet shoulder-width apart and a dumbbell in each hand."", ""step:2 lower your body into a squat position, placing the dumbbells on the ground in front of you."", ""step:3 kick your feet back into a push-up position, keeping your body in a straight line."", ""step:4 perform a push-up, bending your elbows and lowering your chest towards the ground."", ""step:5 jump your feet back towards your hands, landing in a squat position."", ""step:6 stand up explosively, lifting the dumbbells off the ground and bringing them to your shoulders."", ""step:7 press the dumbbells overhead, fully extending your arms."", ""step:8 lower the dumbbells back to your shoulders and repeat the entire sequence for the desired number of repetitions.""]",cardio,dumbbell,cardiovascular system,"step:1 start in a standing position with your feet shoulder-width apart and a dumbbell in each hand. step:2 lower your body into a squat position, placing the dumbbells on the ground in front of you. step:3 kick your feet back into a push-up position, keeping your body in a straight line. step:4 perform a push-up, bending your elbows and lowering your chest towards the ground. step:5 jump your feet back towards your hands, landing in a squat position. step:6 stand up explosively, lifting the dumbbells off the ground and bringing them to your shoulders. step:7 press the dumbbells overhead, fully extending your arms. step:8 lower the dumbbells back to your shoulders and repeat the entire sequence for the desired number of repetitions.",8
